date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,1,0,0,0,0,0.02,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,1,0,0,0,0,0.02,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,1,2,0,0,0,0,0.039,0.02,0,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,2,0,0,0,0,0.039,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,1,3,0,0,0,0,0.059,0.02,0,0,0,0,0,,48,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,1,4,0,0,0,0,0.078,0.02,0,0,0,0,0,9,57,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,4,0.429,0,0,0,0.078,0,0.008,0,0,0,0,130,187,0.004,0.003,25,0,0.017,58.3,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,4,0.429,0,0,0,0.078,0,0.008,0,0,0,0,,,,,28,0.001,0.015,65.3,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,4,0.429,0,0,0,0.078,0,0.008,0,0,0,0,,244,0.005,,32,0.001,0.013,74.6,0,0,0,0,0,0,0,0,0,0
2020-01-31,7,11,1.286,0,0,0,0.215,0.137,0.025,0,0,0,0,,,,,40,0.001,0.032,31.1,0,0,0,0,0,0,0,0,0,2.78
2020-02-01,1,12,1.429,0,0,0,0.234,0.02,0.028,0,0,0,0,,371,0.007,,48,0.001,0.03,33.6,0,0,0,0,0,0,0,0,0,13.89
2020-02-02,3,15,1.714,0,0,0,0.293,0.059,0.033,0,0,0,0,58,429,0.008,0.001,54,0.001,0.032,31.5,0,0,0,0,0,0,0,0,0,13.89
2020-02-03,0,15,1.571,0,0,0,0.293,0,0.031,0,0,0,0,,,,,66,0.001,0.024,42,0,0,0,0,0,0,0,0,0,23.15
2020-02-04,1,16,1.714,0,0,0,0.312,0.02,0.033,0,0,0,0,,607,0.012,,60,0.001,0.029,35,0,0,0,0,0,0,0,0,0,31.48
2020-02-05,3,19,2.143,0,0,0,0.371,0.059,0.042,0,0,0,0,107,714,0.014,0.002,71,0.001,0.03,33.1,0,0,0,0,0,0,0,0,0,31.48
2020-02-06,4,23,2.714,0,0,0,0.449,0.078,0.053,0,0,0,0,171,885,0.017,0.003,92,0.002,0.029,33.9,0,0,0,0,0,0,0,0,0,31.48
2020-02-07,1,24,1.857,0,0,0,0.468,0.02,0.036,0,0,0,0,245,1130,0.022,0.005,118,0.002,0.016,63.5,0,0,0,0,0,0,0,0,0,31.48
2020-02-08,0,24,1.714,0,0,0,0.468,0,0.033,0,0,0,0,571,1701,0.033,0.011,190,0.004,0.009,110.9,0,0,0,0,0,0,0,0,0,31.48
2020-02-09,1,25,1.429,0,0,0,0.488,0.02,0.028,0,0,0,0,639,2340,0.046,0.012,273,0.005,0.005,191,0,0,0,0,0,0,0,0,0,31.48
2020-02-10,2,27,1.714,0,0,0,0.527,0.039,0.033,0,0,0,0,436,2776,0.054,0.009,323,0.006,0.005,188.4,0,0,0,0,0,0,0,0,0,31.48
2020-02-11,1,28,1.714,0,0,0,0.546,0.02,0.033,0,0,0,0,853,3629,0.071,0.017,432,0.008,0.004,252,0,0,0,0,0,0,0,0,0,31.48
2020-02-12,0,28,1.286,0,0,0,0.546,0,0.025,0,0,0,0,1445,5074,0.099,0.028,623,0.012,0.002,484.4,0,0,0,0,0,0,0,0,0,31.48
2020-02-13,0,28,0.714,0,0,0,0.546,0,0.014,0,0,0,0,723,5797,0.113,0.014,702,0.014,0.001,983.2,0,0,0,0,0,0,0,0,0,31.48
2020-02-14,0,28,0.571,0,0,0,0.546,0,0.011,0,0,0,0,1057,6854,0.134,0.021,818,0.016,0.001,1432.6,0,0,0,0,0,0,0,0,0,31.48
2020-02-15,0,28,0.571,0,0,0,0.546,0,0.011,0,0,0,0,665,7519,0.147,0.013,831,0.016,0.001,1455.3,0,0,0,0,0,0,0,0,0,31.48
2020-02-16,1,29,0.571,0,0,0,0.566,0.02,0.011,0,0,0,0,400,7919,0.154,0.008,797,0.016,0.001,1395.8,0,0,0,0,0,0,0,0,0,31.48
2020-02-17,1,30,0.429,0,0,0,0.585,0.02,0.008,0,0,0,0,252,8171,0.159,0.005,771,0.015,0.001,1797.2,0,0,0,0,0,0,0,0,0,31.48
2020-02-18,1,31,0.429,0,0,0,0.605,0.02,0.008,0,0,0,0,1094,9265,0.181,0.021,805,0.016,0.001,1876.5,0,0,0,0,0,0,0,0,0,31.48
2020-02-19,0,31,0.429,0,0,0,0.605,0,0.008,0,0,0,0,1146,10411,0.203,0.022,762,0.015,0.001,1776.2,0,0,0,0,0,0,0,0,0,31.48
2020-02-20,73,104,10.857,1,1,0.143,2.029,1.424,0.212,0.02,0.02,0.003,0,1750,12161,0.237,0.034,909,0.018,0.012,83.7,0,0,0,0,0,0,0,0,0,31.48
2020-02-21,100,204,25.143,2,1,0.286,3.979,1.95,0.49,0.039,0.02,0.006,5.86,2655,14816,0.289,0.052,1137,0.022,0.022,45.2,0,0,0,0,0,0,0,0,0,45.37
2020-02-22,229,433,57.857,2,0,0.286,8.446,4.467,1.128,0.039,0,0.006,5.58,4805,19621,0.383,0.094,1729,0.034,0.033,29.9,0,0,0,0,0,0,0,0,0,45.37
2020-02-23,169,602,81.857,6,4,0.857,11.742,3.296,1.597,0.117,0.078,0.017,4.48,3012,22633,0.441,0.059,2102,0.041,0.039,25.7,0,0,0,0,0,0,0,0,0,50
2020-02-24,231,833,114.714,8,2,1.143,16.248,4.506,2.237,0.156,0.039,0.022,3.71,5982,28615,0.558,0.117,2921,0.057,0.039,25.5,0,0,0,0,0,0,0,0,0,55.56
2020-02-25,144,977,135.143,10,2,1.429,19.056,2.809,2.636,0.195,0.039,0.028,3.1,8101,36716,0.716,0.158,3922,0.076,0.034,29,0,0,0,0,0,0,0,0,0,55.56
2020-02-26,284,1261,175.714,12,2,1.714,24.596,5.539,3.427,0.234,0.039,0.033,3.08,9411,46127,0.9,0.184,5102,0.1,0.034,29,0,0,0,0,0,0,0,0,0,55.56
2020-02-27,505,1766,237.429,13,1,1.714,34.446,9.85,4.631,0.254,0.02,0.033,3.13,11863,57990,1.131,0.231,6547,0.128,0.036,27.6,0,0,0,0,0,0,0,0,0,55.56
2020-02-28,571,2337,304.714,13,0,1.571,45.583,11.137,5.943,0.254,0,0.031,2.86,12950,70940,1.384,0.253,8018,0.156,0.038,26.3,0,0,0,0,0,0,0,0,0,55.56
2020-02-29,813,3150,388.143,16,3,2,61.44,15.857,7.571,0.312,0.059,0.039,2.55,14753,85693,1.671,0.288,9439,0.184,0.041,24.3,0,0,0,0,0,0,0,0,0,55.56
2020-03-01,586,3736,447.714,17,1,1.571,72.87,11.43,8.733,0.332,0.02,0.031,2.35,11292,96985,1.892,0.22,10622,0.207,0.042,23.7,0,0,0,0,0,0,0,0,0,55.56
2020-03-02,599,4335,500.286,28,11,2.857,84.554,11.683,9.758,0.546,0.215,0.056,2.11,12606,109591,2.138,0.246,11568,0.226,0.043,23.1,0,0,0,0,0,0,0,0,0,55.56
2020-03-03,851,5186,601.286,28,0,2.571,101.152,16.599,11.728,0.546,0,0.05,1.93,16260,125851,2.455,0.317,12734,0.248,0.047,21.2,0,0,0,0,0,0,0,0,0,55.56
2020-03-04,435,5621,622.857,35,7,3.286,109.637,8.485,12.149,0.683,0.137,0.064,1.42,10856,136707,2.666,0.212,12940,0.252,0.048,20.8,0,0,0,0,0,0,0,0,0,55.56
2020-03-05,467,6088,617.429,35,0,3.143,118.746,9.109,12.043,0.683,0,0.061,1.07,9834,146541,2.858,0.192,12650,0.247,0.049,20.5,0,0,0,0,0,0,0,0,0,55.56
2020-03-06,505,6593,608,42,7,4.143,128.596,9.85,11.859,0.819,0.137,0.081,0.87,18199,164740,3.213,0.355,13400,0.261,0.045,22,0,0,0,0,0,0,0,0,0,55.56
2020-03-07,448,7041,555.857,44,2,4,137.334,8.738,10.842,0.858,0.039,0.078,0.67,13449,178189,3.476,0.262,13214,0.258,0.042,23.8,0,0,0,0,0,0,0,0,0,55.56
2020-03-08,273,7314,511.143,50,6,4.714,142.659,5.325,9.97,0.975,0.117,0.092,0.72,10329,188518,3.677,0.201,13076,0.255,0.039,25.6,0,0,0,0,0,0,0,0,0,55.56
2020-03-09,164,7478,449,53,3,3.571,145.858,3.199,8.758,1.034,0.059,0.07,0.65,8100,196618,3.835,0.158,12432,0.242,0.036,27.7,0,0,0,0,0,0,0,0,0,55.56
